0	1060	3086	1702	1048	1979	1998	2510	2580	3554	2800	3120
1060	0	2098	1117	625	906	1066	1480	1540	2560	1890	2100
3086	2098	0	3270	2450	2114	2770	2310	2060	1610	3290	2520
1702	1117	3270	0	830	1225	688	1445	1660	2900	1215	1960
1048	625	2450	830	0	430	465	880	1005	2180	1295	1510
1979	906	2114	1225	430	0	655	580	620	1755	1720	1210
1998	1066	2770	688	465	655	0	886	990	2230	840	1300
2510	1480	2310	1445	880	580	886	0	265	1490	980	635
2580	1540	2060	1660	1005	620	990	265	0	1250	1280	645
3554	2560	1610	2900	2180	1755	2230	1490	1250	0	2370	1270
2800	1890	3290	1215	1295	1720	840	980	1280	2370	0	1080
3120	2100	2520	1960	1510	1210	1300	635	645	1270	1080	0
